Supplementary Table 1. CpGs utilized in the elastic net age clock derived from all CpGs measured. Listed are the genomic coordinates, the linear coefficients of the model, and the distances to the transcription site (TSS) of the nearest genes.
Chromosome	Coordinate	Coefficient	Genes (distance to TSS)
chr4	129960125	-3.6198	Bai2 (-25038), Spocd1 (+12405)    
chr4	131748757	0.7609	Ptpru (+89473)     
chr4	132535763	-2.6772	Atpif1 (-2105), Dnajc8 (+214)    
chr4	132768755	-0.3314	Rpa2 (+421)     
chr4	133062635	-0.1272	Wasf2 (-67869), Ahdc1 (+51130)    
chr4	133518983	0.7495	1810019J16Rik (-8)     
chr4	133752083	-0.0709	Pigv (-79437), Arid1a (+1527)    
chr4	133753125	-2.1905	Arid1a (+485)     
chr4	134357339	-1.8766	Slc30a2 (+14134), Extl1 (+15218)    
chr4	134671566	-0.0475	Man1c1 (+32723)     
chr4	135398147	-1.3894	Ncmap (+73)     
chr4	137796064	0.3173	Alpl (+319)     
chr4	137993353	-0.5859	Eif4g3 (-102)     
chr4	140034539	0.2282	Klhdc7a (-66514)     
chr4	141475368	-0.1827	Zbtb17 (+30715), Spen (+63228)    
chr4	142239113	3.2259	Kazn (+287)     
chr4	147971677	1.2534	Nppb (-14110), 2510039O18Rik (+30783)    
chr4	151145281	-0.3245	Gm13090 (+55712)     
chr4	152274815	1.1634	Gpr153 (+454)     
chr4	153957446	0.1838	A430005L14Rik (+210)     
chr5	108367192	-1.6633	Gm10419 (-2665)     
chr5	117318929	-0.6517	Vsig10 (-336), Gm10399 (+312)    
chr5	118331517	-1.0276	2410131K14Rik (+86291)     
chr6	83109176	-1.9186	Mrpl53 (+82)     
chr7	44496696	10.3943	Emc10 (-184), Fam71e1 (+109)    
chr7	44496714	4.3211	Emc10 (-202), Fam71e1 (+127)    
chr8	119446522	-0.4419	Necab2 (-196)     
chr8	122376301	-0.8344	Zc3h18 (-307)     
chr9	18292401	-1.1283	Chordc1 (+135)     
chr9	21161579	0.8823	Pde4a (-4134)     
chr10	5806177	-0.181	Fbxo5 (-578)     
chr10	11343499	-0.0466	Epm2a (+96)     
chr10	12964274	-1.0171	Stx11 (-16)     
chr10	13008952	-2.5752	Sf3b5 (+503)     
chr10	18743528	2.5791	D10Bwg1379e (+229)     
chr10	18845199	0.3714	Perp (+129)     
chr10	21882255	1.3916	Sgk1 (+72)     
chr10	31915673	0.2824	NONE      
chr10	37136243	0.4727	5930403N24Rik (-3314), Marcks (+2676)    
chr10	40302742	-1.4518	Amd1 (-555)     
chr10	40883862	-0.0596	Cdc40 (-720), Wasf1 (+36)    
chr10	42582269	0.3944	Nr2e1 (+1362), Snx3 (+80239)    
chr10	42698541	2.3321	Sec63 (-62954), Ostm1 (+19626)    
chr10	43021928	2.8693	NONE      
chr10	45485682	5.3281	Hace1 (-92146), Lin28b (-15482)    
chr10	45485688	0.0949	Hace1 (-92140), Lin28b (-15488)    
chr10	45485699	3.486	Hace1 (-92129), Lin28b (-15499)    
chr10	45485702	1.381	Hace1 (-92126), Lin28b (-15502)    
chr10	45485738	2.9357	Hace1 (-92090), Lin28b (-15538)    
chr10	45485740	0.1506	Hace1 (-92088), Lin28b (-15540)    
chr10	48536401	-1.8102	NONE      
chr10	58813472	0.0658	Sh3rf3 (+15)     
chr10	60687035	-0.0926	Cdh23 (+9454)     
chr10	61783640	-0.5302	H2afy2 (+506)     
chr10	75926527	0.0055	Smarcb1 (-4911)     
chr10	75969946	3.628	Zfp280b (-62707), Gm5134 (+15433)    
chr10	77978634	-0.2506	1810043G02Rik (+111)     
chr10	77988732	-0.0118	1810043G02Rik (+10209), Pfkl (+21074)    
chr10	78592411	0.178	Syde1 (-448)     
chr10	80265016	-3.8795	Gamt (-4005), Dazap1 (-57)    
chr10	80265056	-0.876	Gamt (-4045), Dazap1 (-17)    
chr10	80292702	5.3708	Rps15 (+250)     
chr10	80347708	-1.8055	Adamtsl5 (+703)     
chr10	80347711	-0.0249	Adamtsl5 (+700)     
chr10	80395229	-0.218	Mex3d (-7579), Mbd3 (+4320)    
chr10	81070184	-2.6459	Thop1 (+150)     
chr10	81268194	-0.5064	Mrpl54 (-1261), Apba3 (+23)    
chr10	83648356	-1.4938	Appl2 (+381)     
chr10	84883024	-0.6837	Ric8b (-34591)     
chr10	85184938	-4.8334	Cry1 (+115)     
chr10	86022132	-2.1453	Fbxo7 (+161)     
chr10	91872716	0.3618	NONE      
chr10	95254036	-0.0105	Cradd (+70060)     
chr10	116581900	-1.8536	Cnot2 (-401)     
chr10	116980687	-1.3597	Gm10271 (-8079), Best3 (-5626)    
chr10	119453833	-1.3904	NONE      
chr10	121150427	-0.0649	NONE      
chr10	121607037	-0.4645	Tbk1 (-20244), Xpot (+19278)    
chr10	122047655	6.2145	Srgap1 (-341)     
chr10	122047709	4.7728	Srgap1 (-395)     
chr10	122047716	2.1529	Srgap1 (-402)     
chr10	122047719	2.2	Srgap1 (-405)     
chr10	122047722	1.095	Srgap1 (-408)     
chr10	122047725	1.3517	Srgap1 (-411)     
chr10	122047735	1.8355	Srgap1 (-421)     
chr10	123265554	-0.7416	Fam19a2 (+1479)     
chr10	128589619	0.7731	Erbb3 (+32)     
chr10	128910113	-2.0667	Cd63 (+1195), Rdh5 (+9183)    
chr10	129817110	0.7567	Olfr811 (-14588), Olfr812 (+25951)    
chr11	4160437	3.293	Ccdc157 (-147), Sf3a1 (+88)    
chr11	19264825	0.3815	NONE      
chr11	21993365	0.5756	Otx1 (+8249)     
chr11	22003790	1.9751	Otx1 (-2176)     
chr11	30771718	-0.2449	Psme4 (-7)     
chr11	32532863	-7.0998	Stk10 (-441)     
chr11	36023996	-0.3175	Wwc1 (-43470)     
chr11	43404722	-0.3589	Pttg1 (+21240)     
chr11	45980348	1.1446	Sox30 (+39)     
chr11	45980366	1.6378	Sox30 (+57)     
chr11	45980375	5.2747	Sox30 (+66)     
chr11	45980409	1.1938	Sox30 (+100)     
chr11	51650662	-0.627	D930048N14Rik (-293), N4bp3 (+179)    
chr11	52167199	1.0631	Olfr1373 (-21672), Olfr1371 (+46787)    
chr11	58937311	-1.2423	Rnf187 (+1604), Btnl10 (+19255)    
chr11	59307150	-7.7181	Wnt9a (+221)     
chr11	60205837	-0.9685	Srebf1 (+14766)     
chr11	60210617	-1.055	Srebf1 (+9986)     
chr11	61684505	1.6177	Fam83g (+87)     
chr11	68901666	3.8404	Rpl26 (+32)     
chr11	69903212	-0.3261	2810408A11Rik (-2256), Neurl4 (+1322)    
chr11	69935790	0.1751	Ybx2 (-5)     
chr11	69935810	6.49	Ybx2 (+15)     
chr11	72410820	-0.3781	Smtnl2 (+892)     
chr11	72913128	-0.8995	Atp2a3 (-48040)     
chr11	73041046	0.5027	1200014J11Rik (-6736), Camkk1 (+22004)    
chr11	74771174	5.6064	Mettl16 (+345)     
chr11	75588406	-0.6308	Pitpna (+310)     
chr11	77489322	3.2982	Git1 (-4239), Ankrd13b (+355)    
chr11	77500543	-0.1726	Git1 (+6982), Trp53i13 (+12826)    
chr11	77508522	-0.0126	Trp53i13 (+4847), Git1 (+14961)    
chr11	78159974	-0.7922	Traf4 (+5614), Fam222b (+44369)    
chr11	78436161	1.3299	Slc46a1 (-29535), Slc13a2 (-13945)    
chr11	79711616	0.5679	NONE      
chr11	84068227	-5.6241	Dusp14 (+573)     
chr11	93885266	-1.4732	Mbtd1 (-585), Utp18 (+499)    
chr11	95299998	-0.6317	Kat7 (+10247), Tac4 (+38470)    
chr11	95413854	0.4176	Spop (-243)     
chr11	96007418	3.7627	Igf2bp1 (-1479)     
chr11	96777603	0.0753	Snx11 (-73)     
chr11	97663598	-3.7182	Mllt6 (+185)     
chr11	98294584	-0.8304	Neurod2 (+35063), Cdk12 (+91250)    
chr11	101120008	0.4349	Fam134c (-116), Tubg1 (+71)    
chr11	101186660	-1.2047	Cntnap1 (+10620), Ezh1 (+39789)    
chr11	102438402	0.8226	Grn (+8088), Fam171a2 (+9279)    
chr11	102606024	1.226	Gm1564 (-59563), Fzd2 (+1594)    
chr11	103101452	-0.312	Acbd4 (-235), Plcd3 (+205)    
chr11	105943925	-0.2948	Cyb561 (+486)     
chr11	107468861	-1.4165	Pitpnc1 (+1837)     
chr11	109298113	-3.3638	Rgs9 (+15)     
chr11	115250261	-0.2034	Grin2c (+16981), Tmem104 (+62775)    
chr11	115258227	3.4743	Grin2c (+9015), Tmem104 (+70741)    
chr11	116004961	1.3575	Galk1 (+7757), Itgb4 (+30237)    
chr11	116110430	-1.9925	Trim47 (-185)     
chr11	116844188	-0.8262	Jmjd6 (-740), Mettl23 (+911)    
chr11	117849480	3.462	Birc5 (+230)     
chr11	118474914	-0.1053	Engase (-1914)     
chr11	118477189	1.2761	Engase (+361)     
chr11	120201542	-0.2723	Slc38a10 (-50197), Bahcc1 (-31404)    
chr11	120234059	-0.1151	Bahcc1 (+1113)     
chr11	120720724	-1.8405	Rac3 (-745)     
chr11	120807077	-0.249	Dus1l (-10683), Fasn (+17100)    
chr12	5050136	-4.3324	NONE      
chr12	17176122	1.1748	Kcnf1 (+765)     
chr12	21373341	-3.2525	Adam17 (+290)     
chr12	22156588	0.2805	NONE      
chr12	25119448	-0.7126	Id2 (-23357)     
chr12	35535020	2.8261	Ahr (+17)     
chr12	40037857	-1.1044	Arl4a (-429)     
chr12	51348013	-0.2958	G2e3 (-274)     
chr12	52006533	-1.3933	Dtd2 (-33)     
chr12	54203309	3.0601	Egln3 (+550)     
chr12	55493341	-1.6924	Nfkbia (-695)     
chr12	56519991	0.0817	Nkx2-1 (+16916)     
chr12	57538782	0.7634	Foxa1 (+7338)     
chr12	57538787	5.8339	Foxa1 (+7333)     
chr12	65225772	0.0585	Wdr20b (+256)     
chr12	73794195	-0.3459	NONE      
chr12	76405241	0.5157	Ppp1r36 (-12357), Hspa2 (+1066)    
chr12	78861250	-4.7011	Eif2s1 (-568), Atp6v1d (+387)    
chr12	79276390	-1.7629	Zfyve26 (+19891), Rdh12 (+67477)    
chr12	80766691	-0.1488	4933426M11Rik (-23840), Ccdc177 (-6151)    
chr12	80946119	-0.3167	Srsf5 (+535)     
chr12	81314965	1.5704	Slc8a3 (+18214)     
chr12	83520400	1.3552	Dcaf4 (-65)     
chr12	84571363	0.5389	Vsx2 (+1602), Abcd4 (+46102)    
chr12	84698673	0.2173	Syndig1l (+133)     
chr12	84698708	1.3688	Syndig1l (+98)     
chr12	84876877	3.8583	Ltbp2 (-383)     
chr12	85816167	-0.2293	0610007P14Rik (+8354), Mfsd7c (+69629)    
chr12	86983575	0.288	Zdhhc22 (+5100), 2310044G17Rik (+36233)    
chr12	87254240	-0.9997	Noxred1 (-20685), Vipas39 (+12045)    
chr12	87300033	5.3259	Ism2 (-329)     
chr12	91590228	-0.0962	Gtf2a1 (-220)     
chr12	91778564	-0.8152	Ston2 (+7871)     
chr12	98901031	0.0464	Eml5 (+452)     
chr12	99098589	-0.6499	NONE      
chr12	99196738	-0.8363	NONE      
chr12	101028820	-1.1889	Ccdc88c (+162)     
chr12	104474946	3.095	Gsc (-1620), Gm10000 (+459)    
chr12	105948980	0.0123	Vrk1 (-61282)     
chr12	108334520	2.1797	Cyp46a1 (+144)     
chr12	111713206	-1.9326	Apopt1 (-73), Bag5 (+50)    
chr12	111789447	-0.1165	Xrcc3 (+24393), Klc1 (+30599)    
chr12	116405520	-1.1435	Ncapg2 (+119)     
chr12	116485911	4.8465	Ptprn2 (+192)     
chr12	117875704	-0.7688	Cdca7l (+32190)     
chr12	118848986	0.6535	Sp8 (+2658)     
chr13	12861299	-0.9193	Prl2c3 (-61222)     
chr13	21995466	0.2684	Prss16 (+14274), Pom121l2 (+14286)    
chr13	23309646	2.0166	Zfp322a (+59561), Vmn1r223 (+60409)    
chr13	23555565	1.5266	Hist1h4f (-3918), Hist1h1d (+534)    
chr13	31625884	-0.4904	Foxf2 (+69)     
chr13	34994035	-0.8163	Eci2 (+108)     
chr13	37826677	-4.0402	Rreb1 (+363)     
chr13	40723104	4.3725	Tfap2a (+10718), Gm9979 (+19100)    
chr13	40723180	7.0868	Tfap2a (+10642), Gm9979 (+19176)    
chr13	40723198	4.0866	Tfap2a (+10624), Gm9979 (+19194)    
chr13	48967798	0.3392	Fam120a (+218)     
chr13	49194999	-1.4585	Ninj1 (+7515), 1110007C09Rik (+21026)    
chr13	49379830	-0.3239	Ippk (-41480), Bicd2 (+38282)    
chr13	53476064	-2.015	Msx2 (-2991)     
chr13	54071980	-3.1999	Sfxn1 (+136)     
chr13	55471967	0.9425	Prr7 (+7701), Dbn1 (+16143)    
chr13	62944729	-1.3408	2010111I01Rik (-70204), Fbp1 (-56448)    
chr13	64274375	1.5726	Cdc14b (+597)     
chr13	64274399	0.1129	Cdc14b (+573)     
chr13	64274685	3.6013	Cdc14b (+287)     
chr13	73603991	-2.2895	Clptm1l (-10)     
chr13	73806327	-0.1223	Nkd2 (+41303), Slc12a7 (+42631)    
chr13	73816185	-0.182	Nkd2 (+31445), Slc12a7 (+52489)    
chr13	73937741	-1.8018	Brd9 (-96), Trip13 (+25)    
chr13	75943555	3.043	Rhobtb3 (+311)     
chr13	80886143	-5.9244	Arrdc3 (+2734)     
chr13	94285121	-0.5838	Scamp1 (+707)     
chr13	97198240	-0.2351	Hexb (+116)     
chr13	98355249	0.1636	Foxd1 (+1005)     
chr13	98366996	0.3747	Foxd1 (+12752)     
chr13	98534239	-2.8587	NONE      
chr13	103920603	1.6312	Erbb2ip (-90)     
chr13	108316541	-1.1211	Depdc1b (+210)     
chr13	117025760	-0.2143	Parp8 (-245)     
chr14	7817971	0.9657	Flnb (+15)     
chr14	16574885	-0.035	Rarb (+586)     
chr14	20661648	-0.0898	Myoz1 (-5109), Synpo2l (+6657)    
chr14	26670135	-1.0564	Pde12 (-253)     
chr14	30715394	2.2829	Sfmbt1 (-220)     
chr14	32038440	-0.1781	Oxnad1 (-46972), Galnt15 (+9452)    
chr14	34549482	-2.6284	9230112D13Rik (-26682), Ldb3 (+39198)    
chr14	45388538	-0.5542	Gnpnat1 (+263)     
chr14	48655725	0.7035	Otx2 (+9520)     
chr14	49066516	-1.2928	Ap5m1 (+22), Exoc5 (+136)    
chr14	57889849	2.6383	Zdhhc20 (+412)     
chr14	60691600	-0.7035	C1qtnf9 (-76533), Spata13 (+56872)    
chr14	62953044	-2.3582	Defb48 (+31465)     
chr14	68123821	0.5269	Nefm (+1024), Nefl (+39959)    
chr14	68125711	2.2618	Nefm (-866)     
chr14	70079547	0.3499	Bin3 (-20597), Egr3 (+2103)    
chr14	70453118	-0.0123	Phyhip (-4357)     
chr14	70599470	-5.5231	Fam160b2 (+364)     
chr14	75131208	15.5827	Lrrc63 (-328)     
chr14	77036497	0.9218	Ccdc122 (-274), Lacc1 (+143)    
chr14	79183069	-0.7507	Zfp957 (+64226)     
chr14	104466428	0.6316	Pou4f1 (+1562)     
chr14	104473125	-0.1504	Pou4f1 (-5135), Rnf219 (+49540)    
chr14	115040601	-1.0888	Gpc5 (-52024)     
chr14	118180510	-1.8896	Gpr180 (+43384), Sox21 (+56519)    
chr14	119858380	3.0738	NONE      
chr14	121275623	-1.7219	NONE      
chr14	122107411	-0.4301	Tm9sf2 (+374)     
chr14	122450733	-2.1188	Zic5 (+14943)     
chr14	122463668	0.183	Zic5 (+2008)     
chr14	122479059	0.1693	Gm10837 (-11526), Zic2 (+3625)    
chr14	122479076	0.622	Gm10837 (-11509), Zic2 (+3642)    
chr15	8262884	0.0471	2410089E03Rik (+93779)     
chr15	26308775	0.5312	March11 (-288)     
chr15	27681414	6.3673	Fam105a (+127)     
chr15	30172936	0.0882	Ctnnd2 (+344)     
chr15	35155861	-2.3963	Stk3 (-56)     
chr15	35296880	3.8018	Osr2 (+783)     
chr15	37234227	0.1991	Grhl2 (+1192)     
chr15	39197639	0.2606	Rims2 (-723)     
chr15	41788827	-3.1516	Abra (+80892)     
chr15	60823769	1.2664	Fam84b (+1310)     
chr15	62038016	-4.5901	Myc (+52626)     
chr15	73173517	-0.9409	Ago2 (+11322), Chrac1 (+83126)    
chr15	75746470	2.8546	Mafa (+1451), Rhpn1 (+42191)    
chr15	76476953	-0.1844	Hsf1 (-491), Bop1 (+315)    
chr15	76722828	1.5148	Lrrc24 (-656)     
chr15	76817911	-0.5911	Arhgap39 (+171)     
chr15	78174204	3.9576	Ift27 (-97)     
chr15	78174214	4.2981	Ift27 (-107)     
chr15	78428757	-1.0432	Kctd17 (+130)     
chr15	78913985	3.1472	Pdxp (+67)     
chr15	78914200	5.4856	Pdxp (+282)     
chr15	78914302	6.4314	Pdxp (+384)     
chr15	78914407	0.7485	Pdxp (+489)     
chr15	82279433	-0.5934	Wbp2nl (-19550), Sept3 (+4499)    
chr15	84756644	0.5386	Arhgap8 (+36593), Phf21b (+99404)    
chr15	85206037	5.0552	Fbln1 (+89)     
